disease name,icde-11,gene ID,gene symbol
Type 2 diabetes mellitus,5A11,8832,CD84
Type 2 diabetes mellitus,5A11,92293,TMEM132C
Type 2 diabetes mellitus,5A11,6571,SLC18A2
Type 2 diabetes mellitus,5A11,8671,SLC4A4
Type 2 diabetes mellitus,5A11,9595,CYTIP
Type 2 diabetes mellitus,5A11,79781,IQCA1
Type 2 diabetes mellitus,5A11,5552,SRGN
Type 2 diabetes mellitus,5A11,170691,ADAMTS17
Type 2 diabetes mellitus,5A11,124220,ZG16B
Type 2 diabetes mellitus,5A11,145270,PRIMA1
Type 2 diabetes mellitus,5A11,2268,FGR
Type 2 diabetes mellitus,5A11,8514,KCNAB2
Type 2 diabetes mellitus,5A11,29968,PSAT1
Type 2 diabetes mellitus,5A11,129684,CNTNAP5
Type 2 diabetes mellitus,5A11,120224,TMEM45B
Type 2 diabetes mellitus,5A11,5166,PDK4
Type 2 diabetes mellitus,5A11,5272,SERPINB9
Type 2 diabetes mellitus,5A11,7253,TSHR
Type 2 diabetes mellitus,5A11,6489,ST8SIA1
Type 2 diabetes mellitus,5A11,5105,PCK1
Type 2 diabetes mellitus,5A11,3598,IL13RA2
Type 2 diabetes mellitus,5A11,10320,IKZF1
Type 2 diabetes mellitus,5A11,100506107,LOC100506107
Type 2 diabetes mellitus,5A11,6004,RGS16
Type 2 diabetes mellitus,5A11,1620,BRINP1
Type 2 diabetes mellitus,5A11,90523,MLIP
Type 2 diabetes mellitus,5A11,5996,RGS1
Type 2 diabetes mellitus,5A11,7052,TGM2
Type 2 diabetes mellitus,5A11,342035,GLDN
Type 2 diabetes mellitus,5A11,9899,SV2B
Type 2 diabetes mellitus,5A11,6262,RYR2
Type 2 diabetes mellitus,5A11,23017,FAIM2
Type 2 diabetes mellitus,5A11,6275,S100A4
Type 2 diabetes mellitus,5A11,229,ALDOB
Type 2 diabetes mellitus,5A11,26509,MYOF
Type 2 diabetes mellitus,5A11,10216,PRG4
Type 2 diabetes mellitus,5A11,2635,GBP3
Type 2 diabetes mellitus,5A11,4852,NPY
Type 2 diabetes mellitus,5A11,7050,TGIF1
Type 2 diabetes mellitus,5A11,5141,PDE4A
Type 2 diabetes mellitus,5A11,91156,IGFN1
Type 2 diabetes mellitus,5A11,54518,APBB1IP
Type 2 diabetes mellitus,5A11,140738,TMEM37
Type 2 diabetes mellitus,5A11,6696,SPP1
Type 2 diabetes mellitus,5A11,100885781,LINC00348
Type 2 diabetes mellitus,5A11,5069,PAPPA
Type 2 diabetes mellitus,5A11,26045,LRRTM2
Type 2 diabetes mellitus,5A11,3126,HLA-DRB4
Type 2 diabetes mellitus,5A11,713,C1QB
Type 2 diabetes mellitus,5A11,23643,LY96
Type 2 diabetes mellitus,5A11,3428,IFI16
Type 2 diabetes mellitus,5A11,55586,MIOX
Type 2 diabetes mellitus,5A11,347,APOD
Type 2 diabetes mellitus,5A11,152687,ZNF595
Type 2 diabetes mellitus,5A11,797,CALCB
Type 2 diabetes mellitus,5A11,5026,P2RX5
Type 2 diabetes mellitus,5A11,162494,RHBDL3
Type 2 diabetes mellitus,5A11,9180,OSMR
Type 2 diabetes mellitus,5A11,3594,IL12RB1
Type 2 diabetes mellitus,5A11,392617,ELFN1
Type 2 diabetes mellitus,5A11,9194,SLC16A7
Type 2 diabetes mellitus,5A11,84519,ACRBP
Type 2 diabetes mellitus,5A11,56667,MUC13
Type 2 diabetes mellitus,5A11,23213,SULF1
Type 2 diabetes mellitus,5A11,10346,TRIM22
Type 2 diabetes mellitus,5A11,183,AGT
Type 2 diabetes mellitus,5A11,3394,IRF8
Type 2 diabetes mellitus,5A11,57575,PCDH10
Type 2 diabetes mellitus,5A11,2042,EPHA3
Type 2 diabetes mellitus,5A11,4257,MGST1
Type 2 diabetes mellitus,5A11,400120,SERTM1
Type 2 diabetes mellitus,5A11,222008,VSTM2A
Type 2 diabetes mellitus,5A11,6857,SYT1
Type 2 diabetes mellitus,5A11,91807,MYLK3
Type 2 diabetes mellitus,5A11,2244,FGB
Type 2 diabetes mellitus,5A11,5172,SLC26A4
Type 2 diabetes mellitus,5A11,5444,PON1
Type 2 diabetes mellitus,5A11,7166,TPH1
Type 2 diabetes mellitus,5A11,641365,LINC00616
Type 2 diabetes mellitus,5A11,2161,F12
Type 2 diabetes mellitus,5A11,56884,FSTL5
