ingredient name,ttd id,gene symbol
Rhein,D0M2TY,LCK
Rhein,D0M2TY,MME
Rhein,D0M2TY,CDK2
Rhein,D0M2TY,HNF4A
Rhein,D0M2TY,F2
Rhein,D0M2TY,IGFBP3
Rhein,D0M2TY,EGLN1
Rhein,D0M2TY,GPR35
Rhein,D0M2TY,SLC13A5
Rhein,D0M2TY,ACLY
Rhein,D0M2TY,CASP6
Rhein,D0M2TY,CASP7
Rhein,D0M2TY,CASP8
Rhein,D0M2TY,CASP1
Rhein,D0M2TY,CASP2
Rhein,D0M2TY,OGA
Rhein,D0M2TY,MAPK8
Rhein,D0M2TY,ADA
Rhein,D0M2TY,NOX4
Rhein,D0M2TY,CAMKK2
Rhein,D0M2TY,MMP16
Rhein,D0M2TY,MMP13
Rhein,D0M2TY,MMP9
Rhein,D0M2TY,MMP1
Rhein,D0M2TY,MMP2
Rhein,D0M2TY,MMP14
Rhein,D0M2TY,MMP8
Rhein,D0M2TY,INSR
Rhein,D0M2TY,FNTB
Rhein,D0M2TY,JUN
Rhein,D0M2TY,KRT14
Rhein,D0M2TY,GLP1R
Rhein,D0M2TY,MMP9
Rhein,D0M2TY,TLR4
Rhein,D0M2TY,TNF
Rhein,D0M2TY,ALKBH1
Rhein,D0M2TY,MSR1
Rhein,D0M2TY,UCP1
Rhein,D0M2TY,STAT3
Rhein,D0M2TY,DDIT3
Rhein,D0M2TY,EGFR
Rhein,D0M2TY,RAC1
Rhein,D0M2TY,FTO
Rhein,D0M2TY,CASP3
Rhein,D0M2TY,PPARG
Rutin,D09ALJ,NMUR2
Rutin,D09ALJ,ADRA2A
Rutin,D09ALJ,ADRA2C
Rutin,D09ALJ,ACHE
Rutin,D09ALJ,AKR1B1
Rutin,D09ALJ,NOX4
Rutin,D09ALJ,CA7
Rutin,D09ALJ,CA12
Rutin,D09ALJ,CA4
Rutin,D09ALJ,CA2
Rutin,D09ALJ,RPS6KA3
Rutin,D09ALJ,NQO2
Rutin,D09ALJ,XDH
Rutin,D09ALJ,CD38
Rutin,D09ALJ,PTGS2
Rutin,D09ALJ,PDE5A
Rutin,D09ALJ,TNF
Rutin,D09ALJ,IL2
Rutin,D09ALJ,ADORA1
Rutin,D09ALJ,ALOX5
Rutin,D09ALJ,TERT
Rutin,D09ALJ,CAT
Rutin,D09ALJ,TNF
Rutin,D09ALJ,PROCR
Rutin,D09ALJ,IL6
Rutin,D09ALJ,IL1B
Rutin,D09ALJ,HMGCR
Rutin,D09ALJ,CASP3
Rutin,D09ALJ,MPO
Rutin,D09ALJ,INS
Rutin,D09ALJ,MARK4
Rutin,D09ALJ,TGFB1
Rutin,D09ALJ,NR1H4
Rutin,D09ALJ,FN1
Rutin,D09ALJ,P4HB
Rutin,D09ALJ,BACE1
Rutin,D09ALJ,FAS
Rutin,D09ALJ,ADA
Rutin,D09ALJ,PPARG
Rutin,D09ALJ,MAPK8
Rutin,D09ALJ,MAPK14
Rutin,D09ALJ,ACTA2
Rutin,D09ALJ,MTOR
Rutin,D09ALJ,SIRT1
Rutin,D09ALJ,BCL2
Salidroside,,TYR
Salidroside,,CA2
Salidroside,,CA7
Salidroside,,CA1
Salidroside,,CA3
Salidroside,,CA12
Salidroside,,CA14
Salidroside,,CA9
Salidroside,,CA4
Salidroside,,CA5A
Salidroside,,CA6
Salidroside,,ADK
Salidroside,,ADA
Salidroside,,ADORA2A
Salidroside,,AKR1C3
Salidroside,,ADORA3
Salidroside,,PNP
Salidroside,,MMP9
Salidroside,,MMP2
Salidroside,,BCL2
Salidroside,,BAX
Sennoside A,D0Z2LG,TNNC1
Sennoside A,D0Z2LG,ESR1
Sennoside A,D0Z2LG,TNNT2
Sennoside A,D0Z2LG,TNNI3
Sennoside A,D0Z2LG,AQP3
Sinensetin,,ABCG2
Sinensetin,,CYP1B1
Sinensetin,,ADORA1
Sinensetin,,ADORA2A
Sinensetin,,AKR1B1
Sinensetin,,OPRD1
Sinensetin,,KIT
Sinensetin,,ADORA3
Sinensetin,,FLT3
Sinensetin,,PLA2G2A
Sinensetin,,CA2
Sinensetin,,SYK
Sinensetin,,CA7
Sinensetin,,NOX4
Sinensetin,,GSK3B
Sinensetin,,ALOX5
Sinensetin,,ABCB1
Sinensetin,,CDK5R1
Sinensetin,,PTPRS
Sinensetin,,PIM1
Sinensetin,,GLO1
Sinensetin,,AKR1B10
Sinensetin,,TOP1
Sinensetin,,ARG1
Sinensetin,,CA12
Sinensetin,,ABCC1
Sinensetin,,TNKS
Sinensetin,,PARP1
Sinensetin,,MAOA
Sinensetin,,TNKS2
Sinensetin,,AMY1A
Sinensetin,,GRK6
Sinensetin,,APP
Sinensetin,,PLK1
Sinensetin,,MET
Sinensetin,,MMP2
Sinensetin,,CCNB3
Sinensetin,,CA1
Sinensetin,,CDK1
Sinensetin,,PLG
Sinensetin,,CA13
Sinensetin,,KDR
Sinensetin,,KDM4E
Sinensetin,,ALOX12
Sinensetin,,PTGS2
Sinensetin,,EGFR
Sinensetin,,SRC
Sinensetin,,MMP13
Sinensetin,,PIK3CG
Sinensetin,,ESR2
Sinensetin,,TTR
Sinensetin,,OPRM1
Sinensetin,,ACHE
Sinensetin,,CD38
Sinensetin,,CSNK2A1
Sinensetin,,MMP9
Sinensetin,,MMP12
Sinensetin,,XDH
Sinensetin,,MAPT
Sinensetin,,TOP2A
Sinensetin,,MPO
Sinensetin,,PIK3R1
Sinensetin,,CA3
Sinensetin,,CXCR1
Sinensetin,,PLA2G1B
Sinensetin,,APEX1
Sinensetin,,AKR1C2
Sinensetin,,AKR1C1
Sinensetin,,AKR1C4
Sinensetin,,AKR1A1
Sinensetin,,TERT
Sinensetin,,BACE1
Sinensetin,,DRD4
Sinensetin,,CDK2
Sinensetin,,AURKB
Sinensetin,,PFKFB3
Sinensetin,,CYP19A1
Sinensetin,,CA9
Sinensetin,,ST6GAL1
Sinensetin,,CBR1
Sinensetin,,CA4
Sinensetin,,IGF1R
Sinensetin,,NOS2
Sinensetin,,AXL
Sinensetin,,CA6
Sinensetin,,PTK2
Sinensetin,,CAMK2B
Sinensetin,,F2
Sinensetin,,CFTR
Sinensetin,,NEK2
Sinensetin,,ALK
Sinensetin,,TYR
Sinensetin,,AHR
Sinensetin,,INSR
Sinensetin,,MAOB
Sinensetin,,ODC1
Sinensetin,,NAE1
Sinensetin,,PPP5C
Sinensetin,,HTR6
Sinensetin,,MT-ND4
Sinensetin,,CDK5
Sinensetin,,CDK1
Sinensetin,,CCNB1
Sinensetin,,CCNB2
Sinensetin,,CYP1A2
Synephrine,,HTR3A
Synephrine,,ADRA2A
Synephrine,,ADRA2C
Synephrine,,ADRA2B
Synephrine,,ADRB2
Synephrine,,ADRB1
Synephrine,,DRD2
Synephrine,,ADRA1A
Synephrine,,NMUR2
Synephrine,,ADRA1D
Synephrine,,OPRM1
Synephrine,,ADRA1B
Synephrine,,TAAR1
Synephrine,,KDM4E
Synephrine,,DRD5
Synephrine,,MTNR1A
Synephrine,,MTNR1B
Synephrine,,DRD1
Syringin,,ADORA3
Syringin,,ADORA2A
Syringin,,ADORA1
Syringin,,TYR
Syringin,,TOP1
Syringin,,HSPA4
Syringin,,TRAF6
Wogonoside,,AKR1B1
Wogonoside,,ADORA1
Wogonoside,,IL2
Wogonoside,,XDH
Wogonoside,,RPS6KA3
Wogonoside,,ACHE
Wogonoside,,NQO2
Wogonoside,,CA2
Wogonoside,,NOX4
Wogonoside,,ADRA2C
Wogonoside,,NMUR2
Wogonoside,,ADRA2A
Wogonoside,,TNF
Wogonoside,,CA12
Wogonoside,,FDFT1
Wogonoside,,PTGS2
Wogonoside,,HPRT1
Wogonoside,,PTPN22
Wogonoside,,MAPK14
Wogonoside,,PLSCR1
